Event	ID	Name			Wwise Object Path	Notes
	322227667	Play_Table_Chair_Bump_SFX			\Default Work Unit\Play_Event\Play_Table_Chair_Bump_SFX	
	457259217	Play_Doll_Position_Arrive_Landing_SFX			\Default Work Unit\Play_Event\Play_Doll_Position_Arrive_Landing_SFX	
	524237271	Stop_SFX_Scene_Transition_Close			\Default Work Unit\Stop_Event\Stop_SFX_Scene_Transition_Close	
	637012276	Play_Menu_Level_Music			\Default Work Unit\Play_Event\Play_Menu_Level_Music	
	736602215	Play_Doll_Skill_Cast_SFX			\Default Work Unit\Play_Event\Play_Doll_Skill_Cast_SFX	
	756317691	Play_Doll_Move_Prepare_Quick_SFX			\Default Work Unit\Play_Event\Play_Doll_Move_Prepare_Quick_SFX	
	833230064	Play_Level_1			\Default Work Unit\Play_Event\Play_Level_1	
	1010511585	Play_Doll_Mask_Switch_Effect_SFX			\Default Work Unit\Play_Event\Play_Doll_Mask_Switch_Effect_SFX	
	1120323365	Play_Crown_Glow_SFX			\Default Work Unit\Play_Event\Play_Crown_Glow_SFX	
	2119739952	Play_LionMask_Fit_SFX			\Default Work Unit\Play_Event\Play_LionMask_Fit_SFX	
	2453267296	Play_Victory			\Default Work Unit\Music_Event\Play_Victory	
	2708270198	Play_Mask_Special_SFX			\Default Work Unit\Play_Event\Play_Mask_Special_SFX	
	2794729210	Play_CatMask_Fit_SFX			\Default Work Unit\Play_Event\Play_CatMask_Fit_SFX	
	3410823607	Play_MouseMask_Fit_SFX			\Default Work Unit\Play_Event\Play_MouseMask_Fit_SFX	
	3443543745	Play_SFX_Scene_Transition_Close			\Default Work Unit\Play_Event\Play_SFX_Scene_Transition_Close	
	3522410409	Play_Doll_Select_Highlight_SFX			\Default Work Unit\Play_Event\Play_Doll_Select_Highlight_SFX	
	4014052856	Play_SFX_CapturePoint_Trigger_02			\Default Work Unit\Play_Event\Play_SFX_CapturePoint_Trigger_02	
	4014052857	Play_SFX_CapturePoint_Trigger_03			\Default Work Unit\Play_Event\Play_SFX_CapturePoint_Trigger_03	
	4014052859	Play_SFX_CapturePoint_Trigger_01			\Default Work Unit\Play_Event\Play_SFX_CapturePoint_Trigger_01	
	4014052862	Play_SFX_CapturePoint_Trigger_04			\Default Work Unit\Play_Event\Play_SFX_CapturePoint_Trigger_04	
	4227241441	Play_FoxMask_Fit_SFX			\Default Work Unit\Play_Event\Play_FoxMask_Fit_SFX	

Effect plug-ins	ID	Name	Type				Notes
	776837744	Born_In_1950	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	14073882	FoxMask_Fit_SFX_02	.cache\1F\{1F74067D-6BFE-9DE2-1E51-836AA0E00475}.wem		\Containers\Default Work Unit\SFX\Mask_SFX\FoxMask_Fit_SFX\FoxMask_Fit_SFX_02		108860
	29310804	Doll_Select_Highlight_SFX	.cache\B5\{B5A569BF-395E-5ED8-E0DA-BA319E91D92F}.wem		\Containers\Default Work Unit\SFX\Doll_SFX\Doll_Select_Highlight_SFX		1059048
	117300668	FoxMask_Fit_SFX_01	.cache\CA\{CA231D7D-0BD7-CDDF-57DD-7CC4DA77F59C}.wem		\Containers\Default Work Unit\SFX\Mask_SFX\FoxMask_Fit_SFX\FoxMask_Fit_SFX_01		111696
	146246296	LionMask_Fit_SFX	.cache\61\{61ABD2E6-6E4E-6090-101E-F8B1B8108C36}.wem		\Containers\Default Work Unit\SFX\Mask_SFX\LionMask_Fit_SFX\LionMask_Fit_SFX		213824
	164882528	CatMask_Fit_SFX	.cache\43\{43173D50-FB38-123A-1F77-0CBF31EF85C1}.wem		\Containers\Default Work Unit\SFX\Mask_SFX\CatMask_Fit_SFX\CatMask_Fit_SFX		89656
	171007355	SFX_Scene_Transition_Open	.cache\4D\{4DB691A1-D534-42ED-2ACE-E80E67292D53}.wem		\Containers\Default Work Unit\SFX\Scene_SFX\SFX_Scene_Transition\SFX_Scene_Transition_Open		537552
	171610600	SFX_CapturePoint_Trigger_02	.cache\A9\{A9B72D9D-798D-1167-2E75-C1D5B2D400AE}.wem		\Containers\Default Work Unit\SFX\Scene_SFX\SFX_CapturePoint_Trigger\SFX_CapturePoint_Trigger_02		534520
	419700630	Table_Chair_Bump_SFX	.cache\BE\{BE8821A5-48C3-F527-6830-25FF3ED652AB}.wem		\Containers\Default Work Unit\SFX\Bump_SFX\Table_Chair_Bump_SFX		1059048
	434314217	SFX_CapturePoint_Trigger_03	.cache\E1\{E134B09A-EDA3-DF9C-35B2-DB5F679BDECF}.wem		\Containers\Default Work Unit\SFX\Scene_SFX\SFX_CapturePoint_Trigger\SFX_CapturePoint_Trigger_03		506864
	504314832	LionMask_Fit_SFX_01	.cache\A0\{A062E5AA-503F-4FDD-8BB0-92D78D446141}.wem		\Containers\Default Work Unit\SFX\Mask_SFX\LionMask_Fit_SFX\LionMask_Fit_SFX_01		161552
